,0
0699285,7.3
1657507,6.4
0077362,7.3
0088944,6.7
0407680,4.3
0118880,6.9
0816462,5.2
3322364,7.1
0270288,7.0
0068408,6.1
0118883,6.7
0360486,7.0
1598778,6.8
0061512,8.0
0106611,7.0
0118887,7.0
0112722,6.6
0327597,7.8
1441109,7.1
0115956,6.6
0409847,6.0
0306685,5.8
0479884,6.9
0115964,6.4
8364368,6.1
1263670,7.2
3104988,6.9
1570728,7.4
0416658,5.9
3076658,7.6
6343314,7.1
0310924,6.4
2554274,6.5
0074695,7.4
2652118,6.1
0139134,6.8
0111931,8.1
6002232,7.5
0790636,7.9
0077394,6.2
1667307,5.8
0099348,8.0
5074352,8.3
0287978,5.3
0224626,4.1
1234927,5.2
4555426,7.4
1279935,6.3
8531222,8.2
0088993,7.1
0077405,7.7
0099371,6.1
0106677,7.6
0377749,5.6
0097165,8.1
0455760,6.1
1431045,8.0
1241317,4.5
1028528,7.0
0804461,6.7
1321509,5.7
0266452,6.3
0104073,7.0
0120647,6.3
0097179,5.3
0453467,7.1
0068473,7.6
0106697,6.7
1259528,7.0
4645330,6.8
0165710,6.8
0112857,6.8
1196141,6.2
0095016,8.2
0112864,7.6
0083833,7.0
1107319,6.4
0109635,6.2
6108178,6.6
1136608,7.9
0486822,6.8
0134619,5.7
1840309,6.6
5606664,7.3
0072890,8.0
0120655,7.3
0069995,7.1
0119008,7.7
0246578,8.0
0036775,8.3
4558376,4.9
1389072,5.8
1606375,8.7
0022835,7.6
3710404,5.7
0116136,6.4
0082288,6.6
0780504,7.8
1502404,5.4
0097239,7.3
0157503,6.7
0097240,7.2
0067023,7.6
0109686,7.3
0329028,3.5
0087182,6.2
5013056,7.8
0083866,7.9
1059786,6.6
0765443,7.6
1282140,7.0
0109707,7.8
1631867,7.9
0131369,6.1
0271367,5.5
7014006,7.3
0104815,6.8
0458522,5.5
0319343,7.1
5294518,5.8
5881892,5.3
0414055,6.8
0368709,6.3
1535108,6.6
0092965,7.7
0338963,4.2
0146675,5.8
1855199,7.6
0120660,7.3
0278435,5.8
2390361,7.0
0629253,7.0
0238380,7.3
3958780,5.6
0449010,5.1
0097289,6.1
0195685,7.5
0116225,5.7
0082340,7.1
0067065,6.3
0338013,8.3
0119081,6.6
0092991,7.7
0083908,7.0
