movie_name,imdb_id,character_name,line_count,title,director,genres,imdb_rating,script_filename,script_path,script_exists,title_meta,director_meta,genres_meta,imdb_rating_meta,Drama,Thriller,Comedy,Action,Crime,Romance,Adventure,Sci-Fi,Mystery,Horror,Fantasy,Biography,imdb_rating_decimal
Zulu Dawn,0080180,Sgt Murphy,23,Zulu Dawn,Douglas Hickox,"Adventure, Drama, History, War",6,Zulu Dawn_0080180.txt,data/screenplay_data/data/raw_texts/raw_texts/Zulu Dawn_0080180.txt,True,Zulu Dawn,Douglas Hickox,"Adventure, Drama, History, War",6,1,0,0,0,0,0,1,0,0,0,0,0,6.7
eXistenZ,0120907,Gas,49,eXistenZ,David Cronenberg,"Horror, Sci-Fi, Thriller",6,eXistenZ_0120907.txt,data/screenplay_data/data/raw_texts/raw_texts/eXistenZ_0120907.txt,True,eXistenZ,David Cronenberg,"Horror, Sci-Fi, Thriller",6,0,1,0,0,0,0,0,1,0,1,0,0,6.8
xXx,0295701,Xander Cage,500,xXx,Rob Cohen,"Action, Adventure, Thriller",5,xXx_0295701.txt,data/screenplay_data/data/raw_texts/raw_texts/xXx_0295701.txt,True,xXx,Rob Cohen,"Action, Adventure, Thriller",5,0,1,0,1,0,0,1,0,0,0,0,0,5.9
