imdb_id,character_name_search,gender
317705,Bob Parr (A.K.A. Mr. Incredible),Male
47673,Bob Wallace,Male
103241,Bob Wiley,Male
1234548,Bob Wilton ,Male
227005,Bobby ,Male
120399,Bobby Cooper ,Male
65724,Bobby Dupea,Male
1596345,Bobby Fischer ,Male
498399,Bobby Green ,Male
1172991,Bobby Walker,Male
61418,Bonnie Parker and Clyde Barrow,Female
328099,Brad Gluckman ,Male
5884230,Brad Sloan,Male
6217608,Brady Blackburn,Male
7752126,Brandon Breyer ,Male
417217,Brandon Lang ,Male
1169133,Brandon O'Leary ,Male
393109,Brendan Frye,Male
65462,Brent,Male
110478,Bret Maverick,Male
1226271,Brian Clough,Male
107302,Brian Kessler ,Male
93777,Brian Marsh ,Male
101393,Brian McCaffrey,Male
232500,Brian O'Conner,Male
120879,Brian Slade,Male
97758,Brian Stevenson ,Male
1855199,Brian Taylor,Male
6662736,Bridget ,Female
1473832,Bridget Jones ,Female
783233,Briony Tallis,Female
113749,Brodie Bruce,Unknown
800080,Bruce Banner,Male
489235,Bruce Campbell ,Male
315327,Bruce Nolan,Male
372784,Bruce Wayne,Male
1672723,Bruce Wayne ,Male
96895,Bruce Wayne,Male
1345836,Bruce Wayne,Male
252963,Bruno Baumann ,Male
936501,Bryan Mills,Male
4916630,Bryan Stevenson,Male
86856,Buckaroo Banzai ,Male
2350892,Bud Case,Male
94291,Bud Fox,Male
319343,Buddy ,Male
118276,Buffy Summers ,Female
1003594,Burt Farlander ,Male
87050,Burt Stanton ,Male
6412452,Buster Scruggs ,Male
64115,Butch Cassidy,Male
107808,Butch Haynes,Male
53604,C.C. Baxter,Male
1186829,C.J. ,Male
383028,Caden Cotard,Male
377092,Cady Heron,Female
69768,Caesar ,Male
68408,Caesar ,Male
1318514,Caesar,Male
3450958,Caesar,Male
8041,Caitlyn Morales ,Female
1570728,Cal Weaver,Male
93605,Caleb Colton,Male
303714,Calvin Palmer Jr. ,Male
1839492,Calvin Weir-Fields,Male
1969062,Cam Stuart ,Male
81568,Cameron,Unknown
118880,Cameron Poe,Male
9170108,Campion ,Unknown
100133,Captain Dennis Dearborn ,Male
480255,Captain Franklin Clay ,Male
57115,Captain Hilts,Male
1790809,Captain Jack Sparrow,Male
117731,Captain Jean-Luc Picard ,Male
119081,Captain Miller ,Unknown
44121,"Captain Patrick ""Pat"" Hendry",Male
1535109,Captain Richard Phillips,Male
1068680,Carl Allen ,Male
1049413,Carl Fredricksen,Male
1571222,Carl Jung,Male
3236120,Carol Petersen ,Female
134847,Carolyn Fry,Female
1000774,Carrie Bradshaw,Female
365929,Carrie Stetko,Female
74285,Carrie White,Female
68638,"Carter ""Doc"" McCoy",Male
133751,Casey Connor,Unknown
1232783,Cassidy,Unknown
1657507,Cataleya Restrepo ,Female
209958,Catharine Deane,Female
4513316,Cathleen Harris,Female
297884,Cathy Whittaker,Female
1327773,Cecil Gaines,Male
94715,"Cecilia Carol ""C.C."" Bloom ",Female
1405365,Celeste,Female
5960374,Celeste,Female
78841,Chance (Chauncey Gardner),Male
109831,Charles,Male
6225520,Charles Dickens ,Male
33467,Charles Foster Kane,Male
10871176,Charles Kelley ,Male
51003,Charles Lindbergh,Male
89175,Charley Brewster,Male
7653254,Charlie,Male
70379,Charlie,Male
1659337,Charlie,Male
43265,Charlie Allnut,Male
290675,Charlie Croker ,Male
831374,Charlie DeSantis ,Male
369179,Charlie Harper,Male
452625,Charlie Logan,Male
108174,Charlie MacKenzie,Male
105323,Charlie Simms,Male
472062,Charlie Wilson,Male
486569,Chase Jackson ,Male
9130508,Cherry ,Unknown
118125,Cheryl ,Female
3263904,"Chesley ""Sully"" Sullenberger",Male
95253,"Chester ""Chet"" Ripley ",Male
479884,Chev Chelios,Male
266915,Chief Inspector Lee and Detective James Carter,Male
5761496,Chili Palmer ,Male
4975722,Chiron ,Male
103312,Chris ,Unknown
454921,Chris Gardner,Male
287138,Chris Hughes ,Unknown
300556,Chris Johnston,Male
271367,Chris McCormick,Unknown
91763,Chris Taylor,Male
351977,Chris Vaughn,Male
5052448,Chris Washington,Male
416320,Chris Wilton,Male
203009,Christian,Male
2140479,Christian Wolff,Male
4925292,"Christine ""Lady Bird"" McPherson",Female
824747,Christine Collins,Female
103594,Christopher Columbus ,Male
758758,Christopher McCandless,Male
472198,Christopher Wallace ,Male
270288,Chuck Barris ,Male
93278,Chuck Clarke ,Male
118158,Chuck Gieg ,Male
162222,Chuck Noland,Male
1525366,Ciarán O'Shea ,Male
257106,Cindy Campbell,Female
175142,Cindy Campbell ,Female
3181822,Claire Peterson,Female
161081,Claire Spencer,Female
929632,Claireece Jones (Precious),Female
108399,Clarence Worley,Male
102926,Clarice Starling,Female
1453257,Clark Kent ,Male
97958,Clark Wilhelm Griswold Jr,Male
123964,Claude Banks ,Male
985699,Claus von Stauffenberg,Male
211933,Clay Beresford,Male
758746,Clay Miller ,Male
41827,Clay Phillips ,Male
46534,Clayton Forrester,Male
7125860,"Clementine ""Tish"" Rivers ",Female
6155172,Cleo ,Female
80120,Cleon,Male
971209,Cliff Anderson,Male
1017460,Clive Nicoli ,Male
36112,Clive Wynne-Candy,Male
1197624,Clyde Shelton ,Male
4225622,Cole ,Male
99371,Cole Trickle,Male
308383,Coleman Silk,Male
5437928,Colette,Female
1655420,Colin Clark,Male
1770734,Collette McVeigh ,Female
2057392,Colonel Katherine Powell,Female
945513,Colter Stevens,Male
816462,Conan ,Male
117104,Connie Doyle,Female
110027,Connor MacLeod,Male
91203,Connor MacLeod,Male
1300851,Connor MacManus ,Male
144117,Connor McManus and Murphy McManus,Male
3544112,Conor Lalor ,Male
3416532,Conor O'Malley,Male
657508,Conor O'Neill ,Male
81283,Conrad Jarrett,Male
250797,"Constance ""Connie"" Sumner ",Female
816692,Cooper,Male
327597,Coraline Jones,Female
115736,Corky,Female
67065,Cornelius,Male
1188729,Corporal Bower ,Male
5362988,Cory Lambert,Male
116209,Count Laszlo de Almásy,Male
804497,Craig Gilner ,Male
113118,Craig Jones,Male
195945,Craig Jones ,Male
120601,Craig Schwartz ,Male
94812,Crash Davis ,Male
435705,Cris Johnson,Male
1706620,Curtis Everett,Male
1675192,Curtis LaForche,Male
103584,Cyclops,Male
94701,Cynthia Weston ,Female
108333,D'Artagnan ,Male
318155,DJ Drake,Unknown
410097,DJay ,Male
113243,Dade Murphy ,Male
97239,Daisy Werthan,Female
910936,Dale Denton ,Male
454848,Dalton Russell,Male
3203606,Dalton Trumbo,Male
77394,Damien Thorn ,Male
381849,Dan Evans,Male
385267,Dan Foreman,Male
93010,Dan Gallagher,Male
23305,Dan Hardesty ,Male
47985,Dan Hilliard,Unknown
5606664,Dan Torrance,Male
1259521,Dana Polk ,Female
1085779,Dane Thompson ,Male
8772262,Dani,Female
6423362,Daniel Bae ,Male
247199,Daniel Balint ,Male
85636,Daniel Challis,Male
310924,Daniel Foray ,Male
111282,Daniel Jackson ,Male
87538,Daniel LaRusso,Male
469494,Daniel Plainview,Male
1107319,Danielle ,Female
2316204,Daniels ,Male
743446,Danny Archer ,Male
107362,Danny Madigan,Male
5536736,Danny Meyerowitz ,Male
80487,Danny Noonan,Male
54135,Danny Ocean ,Male
240772,Danny Ocean ,Male
349903,Danny Ocean,Male
235737,Danny Parker ,Male
2419232,Dara Reems ,Unknown
107798,Darby Shaw ,Female
1862079,Darius,Female
450405,Darren Shan,Male
263488,Darry Jenner,Male
94332,Daryl Van Horne,Male
5519340,Daryl Ward,Male
8531222,Dave Burd ,Male
240900,Dave Goodman ,Male
1729217,Dave Hollis ,Male
946528,Dave Johnson ,Male
1250777,Dave Lizewski ,Male
1488555,Dave Lockwood,Male
1234927,Dave Reinhart,Male
2788710,Dave Skylark,Unknown
78902,Dave Stoller,Male
963966,Dave Stutler,Male
5774450,Davey Armstrong ,Male
87065,Davey Osborne,Unknown
314331,David,Male
3464902,David,Male
259711,David Aames,Male
2980592,David Collins ,Male
113451,David Corelli ,Male
884328,David Drayton,Male
217869,David Dunn,Male
455407,David Dutton ,Male
3416744,David Foster Wallace ,Male
452702,David Fox,Male
870111,David Frost ,Male
289992,David Gale,Male
91276,David Gardner ,Male
116253,David Grant ,Male
1603257,David Hargrove ,Male
117631,David Helfgott,Male
89504,David Howard ,Male
82010,David Kessler ,Male
7668870,David Kim,Male
69303,David Lee Morgan ,Male
86567,David Lightman,Male
67023,David Mann,Male
1385826,David Norris,Male
120789,David Wagner,Male
120174,Dawn ,Female
302297,Deacon ,Male
1120985,Dean Pereira,Male
5164214,Debbie Ocean ,Female
4645330,Deborah E. Lipstadt,Female
119395,Declan Mulqueen,Male
6169694,Del ,Male
343818,Del Spooner,Male
5662022,Delilah ,Female
887971,Della Myers ,Female
105417,Deloris Van Cartier,Female
399281,Denise Tyler ,Female
2891174,Dennis Nash ,Male
1198138,Derek Charles,Male
120586,Derek Vinyard,Male
106611,Derice Bannock,Male
2119532,Desmond T. Doss,Male
1349451,Destiny,Female
5503686,Destiny ,Female
114369,Detective David Mills,Male
5477566,Devon Terrell ,Unknown
107254,Diana Kimble,Female
